# p0, p1, p2, p3, p4, resistivity (kohm.cm)
    2.2579,   28.7471,    0.9238,    8.3786,    4.4024,    8.1174
    2.4516,   15.9815,    0.8616,    7.5521,    4.4111,   39.4776
    2.4973,   20.8798,    0.9432,    7.9228,    4.0973,   18.0772
    2.4474,   22.9331,    0.8636,    8.2351,    4.1194,   14.1288
    2.4319,   25.3930,    0.9425,    8.2300,    4.4339,   10.9376
    2.2030,   16.1566,    0.8925,    7.8452,    3.7561,   38.1282
    2.4634,   20.6607,    0.9241,    8.2123,    4.1131,   18.5988
    2.2556,   29.5660,    0.8975,    8.5983,    4.0497,    7.6010
    2.0562,   18.0182,    0.9367,    8.2464,    3.8643,   27.3362
    2.3984,   24.2146,    0.8384,    7.9063,    3.8592,   12.3077
    2.4646,   24.4720,    0.9408,    8.2891,    4.4158,   11.9862
    2.4104,   26.7053,    0.9207,    8.5902,    4.6455,    9.6742
    2.3585,   15.3495,    0.9387,    8.9139,    3.9599,   45.0299
    2.2740,   26.8093,    0.8598,    7.5374,    4.1513,    9.5840
    2.4483,   22.0146,    0.9264,    8.0563,    3.8275,   15.7087
    2.4299,   22.9315,    0.8713,    8.4380,    4.3660,   14.1312
    2.4417,   19.7673,    0.9566,    7.6589,    4.1912,   20.9915
    2.1621,   27.3836,    0.9452,    9.2585,    4.3381,    9.1086
    2.4924,   21.0039,    0.8296,    7.3593,    3.8988,   17.7919
    2.2511,   23.8891,    0.8410,    7.6262,    3.7055,   12.7337
    2.3541,   16.2388,    0.9383,    8.6490,    3.8036,   37.5189
    2.2782,   16.4944,    0.9144,    9.1029,    3.9142,   35.7200
    2.4454,   21.8544,    0.8519,    7.8685,    3.8113,   16.0125
    2.4804,   26.2024,    0.8564,    8.4457,    4.1936,   10.1300
    2.3292,   28.8180,    0.9272,    8.9501,    4.7141,    8.0706
    2.3346,   26.2812,    0.8902,    9.0465,    3.9033,   10.0563
    2.2048,   15.3358,    0.9336,    8.9911,    3.8555,   45.1634
    2.3415,   23.1311,    0.8385,    7.8174,    3.8948,   13.8207
    2.4257,   28.6519,    0.8439,    7.9684,    4.0851,    8.1810
    2.4346,   28.1394,    0.9133,    7.9906,    4.1526,    8.5372
    2.1709,   22.0434,    0.9338,    7.6077,    3.9925,   15.6551
    2.2718,   30.3282,    0.9295,    8.5299,    4.2269,    7.1651
    2.3955,   18.0411,    0.9405,    8.4205,    3.7287,   27.2342
    2.2703,   23.4966,    0.9396,    8.4236,    4.3177,   13.2791
    2.3353,   18.8719,    0.8975,    8.3455,    3.8826,   23.9116
    2.2461,   19.4789,    0.9398,    7.5104,    3.5868,   21.8680
    2.3809,   22.1198,    0.8974,    8.8587,    4.1571,   15.5141
    2.2982,   26.4040,    0.8991,    8.4308,    4.0974,    9.9433
    2.0720,   23.1248,    0.9535,    8.7081,    4.0416,   13.8304
