Basal lumen diameter (mm),Infill density,Taper ratio,Cochlear width (mm),Cochlear height (mm),Matrix resistivity (kohm.cm)
2.1362,59.1683,0.9207,9.5864,3.5803,1.7201
2.1335,68.1998,0.8913,9.6256,3.9698,1.2969
2.177,58.101,0.8833,10.0298,3.5606,1.7842
2.1806,65.2503,0.895,9.3586,3.8601,1.4153
2.1749,74.2587,0.9231,8.8654,4.3131,1.0975
2.3452,59.3802,0.8768,10.1236,3.9082,1.7078
2.2044,64.0923,0.8941,9.7231,3.6794,1.4664
2.1084,73.3596,0.9158,9.2129,3.9558,1.124
2.1727,63.3508,0.894,9.5915,3.864,1.5007
2.2057,67.8791,0.9122,9.3703,4.2282,1.309
2.2755,57.5211,0.8501,10.7603,3.7639,1.8206
2.1246,59.3512,0.9131,9.8787,3.5655,1.7095
2.1534,66.648,0.8989,9.5924,3.8946,1.3572
2.3325,67.9312,0.8555,10.5958,4.0722,1.307
2.1793,65.935,0.8892,9.6644,3.8655,1.3863
2.3243,60.7304,0.8783,10.0429,3.9049,1.6326
2.1385,70.0801,0.9043,9.5158,3.9028,1.2293
2.378,69.1387,0.89,9.7381,4.2702,1.2624
2.1191,63.1584,0.9097,9.6414,3.8074,1.5098
2.2793,59.146,0.8857,9.6317,3.6652,1.7214
2.2217,60.3431,0.9074,9.8345,3.8165,1.6537
2.322,64.5555,0.8568,10.5794,4.0175,1.4456
2.1973,60.4086,0.8512,10.5368,3.7824,1.6501
2.2142,60.3799,0.8829,9.814,3.7851,1.6516
2.2519,64.5089,0.8735,9.7035,3.8512,1.4477
2.4206,69.288,0.9028,9.4802,4.6144,1.2571
2.2505,61.8464,0.8535,10.5301,3.7947,1.5743
2.1555,62.5179,0.8813,10.1954,3.7748,1.5408
2.2071,61.2716,0.8561,10.4358,3.7631,1.6039
2.3502,69.8952,0.891,9.6613,4.3177,1.2357
2.1203,75.3398,0.9193,8.9893,4.2335,1.067
2.2739,62.9671,0.8745,10.0828,4.1596,1.519
2.1936,64.5139,0.869,9.9245,3.9989,1.4475
2.4436,64.5023,0.8913,9.7982,4.3913,1.448
2.2463,60.1417,0.8738,10.1648,3.7834,1.6648
2.3196,59.7381,0.8782,10.1862,3.5794,1.6874
2.0717,70.5713,0.8922,9.6063,3.8514,1.2126
2.3175,56.6329,0.8817,9.7539,3.6956,1.8786
2.1709,59.0563,0.8914,9.7477,3.5622,1.7267
2.4254,58.9174,0.8743,10.0634,3.7432,1.7348
2.4747,65.4653,0.8722,10.2917,3.8529,1.4061
2.1653,72.4174,0.8877,9.8381,3.7456,1.1527
2.2027,60.5663,0.8585,10.4219,3.7819,1.6415
2.3205,59.1075,0.8711,10.3595,3.6888,1.7237
2.1053,67.3651,0.9011,9.4883,3.6953,1.3288
2.1083,68.235,0.909,9.1931,3.9043,1.2956
2.3458,65.8559,0.8915,9.6545,4.2466,1.3896
2.2643,64.0742,0.9037,9.3035,4.0239,1.4673
2.3732,69.8794,0.9014,9.4792,4.4762,1.2363
2.2017,60.1,0.8979,10.1256,3.8501,1.6671
2.1852,61.0293,0.8749,9.9575,3.7045,1.6167
2.1446,70.4937,0.909,9.235,4.0063,1.2152
2.1754,74.0401,0.8937,9.6916,3.9034,1.1039
2.2513,60.7543,0.8798,9.9672,3.6281,1.6313
2.3764,57.6023,0.8595,10.59,3.8877,1.8154
2.1139,79.2252,0.9105,9.2162,4.2439,0.9677
2.2555,64.369,0.8842,9.7124,4.0543,1.454
2.2046,59.1248,0.8937,9.9718,3.7356,1.7227
2.4252,61.5873,0.8818,9.8248,3.9782,1.5876
2.0593,73.0533,0.9059,9.2498,3.9824,1.1332
2.185,68.7266,0.9237,8.8167,4.0615,1.2774
2.1949,58.9911,0.8528,10.6189,3.5654,1.7305
2.1079,69.5091,0.9006,9.4856,3.7454,1.2492
