Basal lumen diameter (mm),Infill density,Taper ratio,Cochlear width (mm),Cochlear height (mm),Matrix resistivity (kohm.cm)
2.39E+00,2.88E+01,9.58E-01,8.74E+00,3.96E+00,8.108183465
2.45E+00,3.08E+01,9.48E-01,8.87E+00,4.64E+00,6.916854506
2.45E+00,2.46E+01,9.41E-01,9.93E+00,3.89E+00,11.88321445
2.47E+00,2.67E+01,9.42E-01,9.27E+00,4.03E+00,9.654799856
2.44E+00,3.11E+01,9.49E-01,8.72E+00,4.54E+00,6.77113775
2.31E+00,2.71E+01,9.57E-01,9.56E+00,4.17E+00,9.360164274
2.46E+00,2.79E+01,9.53E-01,9.15E+00,4.07E+00,8.720495928
2.44E+00,2.84E+01,9.54E-01,8.48E+00,4.24E+00,8.335783476
2.35E+00,3.14E+01,9.56E-01,8.89E+00,4.41E+00,6.603025557
2.35E+00,2.57E+01,9.56E-01,9.20E+00,3.88E+00,10.61664898
2.32E+00,2.78E+01,9.57E-01,9.29E+00,4.36E+00,8.78096461
2.36E+00,2.89E+01,9.50E-01,9.09E+00,4.34E+00,8.017579347
2.39E+00,3.00E+01,9.49E-01,8.78E+00,4.27E+00,7.333465265
2.46E+00,2.61E+01,9.38E-01,9.88E+00,3.69E+00,10.21172983
2.44E+00,2.92E+01,9.26E-01,9.69E+00,3.86E+00,7.853136951
2.42E+00,2.95E+01,9.33E-01,9.15E+00,4.36E+00,7.615819418
2.38E+00,2.96E+01,9.47E-01,8.87E+00,4.49E+00,7.556696672
2.41E+00,3.12E+01,9.55E-01,8.62E+00,4.66E+00,6.701483423
2.47E+00,2.43E+01,9.53E-01,9.99E+00,3.92E+00,12.23057103
2.45E+00,3.11E+01,9.41E-01,9.18E+00,3.99E+00,6.756357885
2.43E+00,2.93E+01,9.40E-01,9.12E+00,4.55E+00,7.768534006
2.46E+00,3.14E+01,9.49E-01,8.44E+00,4.78E+00,6.608685146
2.43E+00,2.93E+01,9.43E-01,8.92E+00,4.36E+00,7.758626563
2.38E+00,2.66E+01,9.60E-01,9.40E+00,4.08E+00,9.728240157
2.49E+00,2.80E+01,9.52E-01,8.62E+00,4.50E+00,8.648985426
2.47E+00,3.16E+01,9.05E-01,8.79E+00,4.57E+00,6.518198633
2.46E+00,2.96E+01,9.35E-01,9.18E+00,4.49E+00,7.601998793
2.40E+00,2.20E+01,9.53E-01,1.02E+01,3.85E+00,15.66655433
2.34E+00,3.24E+01,9.55E-01,8.67E+00,4.34E+00,6.147092873
2.42E+00,2.49E+01,9.55E-01,9.24E+00,4.50E+00,11.46182382
2.46E+00,2.41E+01,9.51E-01,9.16E+00,4.48E+00,12.4196766
2.50E+00,2.77E+01,9.34E-01,9.02E+00,4.43E+00,8.885958424
2.43E+00,3.17E+01,9.57E-01,8.41E+00,4.73E+00,6.450700562
2.48E+00,2.50E+01,9.34E-01,9.69E+00,4.04E+00,11.32483536
2.47E+00,2.72E+01,9.42E-01,9.09E+00,4.25E+00,9.236245013
2.36E+00,2.89E+01,9.54E-01,8.90E+00,4.22E+00,8.009468533
2.46E+00,2.71E+01,9.30E-01,9.09E+00,4.32E+00,9.340957371
2.44E+00,2.59E+01,9.57E-01,9.79E+00,3.96E+00,10.39875241
2.45E+00,3.06E+01,9.35E-01,9.12E+00,4.10E+00,7.011615003
2.45E+00,2.49E+01,9.24E-01,9.44E+00,4.24E+00,11.43980774
2.49E+00,2.70E+01,9.30E-01,9.28E+00,4.30E+00,9.387182107
2.42E+00,2.76E+01,9.44E-01,9.39E+00,4.37E+00,8.943407568
2.45E+00,2.78E+01,9.29E-01,9.12E+00,4.44E+00,8.814589179
2.50E+00,2.22E+01,9.52E-01,9.13E+00,4.57E+00,15.3695792
2.38E+00,2.96E+01,9.60E-01,8.73E+00,4.27E+00,7.592680618
2.48E+00,3.10E+01,9.32E-01,8.52E+00,4.56E+00,6.824626914
2.42E+00,2.63E+01,9.59E-01,9.28E+00,4.06E+00,10.00667352
2.50E+00,3.03E+01,9.56E-01,8.72E+00,4.16E+00,7.20504791
2.32E+00,2.97E+01,9.58E-01,8.68E+00,4.35E+00,7.53367395
2.48E+00,3.18E+01,9.32E-01,8.86E+00,4.09E+00,6.423599395
2.41E+00,2.52E+01,9.58E-01,9.33E+00,4.49E+00,11.12757905
2.46E+00,3.15E+01,9.42E-01,8.82E+00,4.83E+00,6.580837883
2.45E+00,2.93E+01,9.07E-01,9.23E+00,4.42E+00,7.754192158
2.40E+00,3.13E+01,9.57E-01,8.48E+00,4.77E+00,6.646422284
2.45E+00,2.43E+01,9.51E-01,1.01E+01,3.63E+00,12.23465946
2.35E+00,2.86E+01,9.59E-01,8.89E+00,4.54E+00,8.217830304
2.36E+00,2.53E+01,9.54E-01,9.42E+00,4.11E+00,11.06620497
2.44E+00,2.84E+01,9.32E-01,8.93E+00,4.26E+00,8.370278661
2.50E+00,3.09E+01,9.23E-01,8.61E+00,4.74E+00,6.849356663
2.39E+00,2.36E+01,9.45E-01,9.74E+00,3.88E+00,13.09587378
2.48E+00,2.77E+01,9.37E-01,9.20E+00,4.25E+00,8.864169815
2.36E+00,3.07E+01,9.40E-01,8.98E+00,4.53E+00,6.968947845
2.49E+00,2.56E+01,9.34E-01,9.71E+00,3.88E+00,10.67975422
2.48E+00,2.57E+01,9.28E-01,1.01E+01,3.68E+00,10.58347066
2.46E+00,2.52E+01,9.51E-01,9.65E+00,4.21E+00,11.16880967
2.45E+00,3.21E+01,9.39E-01,9.03E+00,4.16E+00,6.272934572
2.50E+00,2.55E+01,9.54E-01,9.20E+00,4.53E+00,10.78184113
2.48E+00,2.99E+01,9.17E-01,9.03E+00,4.43E+00,7.431230395
2.40E+00,3.04E+01,9.56E-01,8.67E+00,4.66E+00,7.150047137
2.49E+00,2.48E+01,9.57E-01,8.75E+00,4.32E+00,11.56121422
2.45E+00,2.31E+01,9.35E-01,9.55E+00,4.34E+00,13.87773452
2.41E+00,3.09E+01,9.55E-01,8.81E+00,4.40E+00,6.872153039
2.47E+00,3.19E+01,9.10E-01,8.80E+00,4.54E+00,6.392284046
2.47E+00,3.07E+01,9.35E-01,8.68E+00,4.23E+00,6.969343285
2.46E+00,2.30E+01,9.54E-01,9.52E+00,3.91E+00,13.9778332
2.45E+00,2.77E+01,9.43E-01,9.81E+00,3.76E+00,8.877445826
2.36E+00,3.12E+01,9.40E-01,8.59E+00,4.40E+00,6.723266162
2.41E+00,2.97E+01,9.42E-01,8.61E+00,4.45E+00,7.539066719
2.45E+00,2.42E+01,9.60E-01,9.07E+00,4.22E+00,12.36306805
2.44E+00,3.14E+01,9.52E-01,8.81E+00,4.61E+00,6.599328353
2.43E+00,2.76E+01,9.56E-01,9.05E+00,4.01E+00,8.906069378
2.46E+00,2.56E+01,9.42E-01,1.01E+01,3.72E+00,10.7021209
2.47E+00,2.32E+01,9.50E-01,9.08E+00,4.49E+00,13.76896186
2.46E+00,2.72E+01,9.53E-01,8.69E+00,4.61E+00,9.256263482
2.50E+00,3.08E+01,9.50E-01,8.39E+00,4.90E+00,6.896872839
2.49E+00,3.12E+01,9.45E-01,8.97E+00,4.22E+00,6.714762028
2.49E+00,3.01E+01,9.27E-01,8.92E+00,4.44E+00,7.312306167
2.44E+00,2.59E+01,9.45E-01,8.98E+00,4.56E+00,10.38204915
2.45E+00,2.97E+01,9.58E-01,8.87E+00,4.74E+00,7.532770814
2.42E+00,2.44E+01,9.49E-01,9.46E+00,4.25E+00,12.04435585
2.47E+00,3.12E+01,9.32E-01,8.72E+00,4.71E+00,6.695388429
2.40E+00,3.11E+01,9.53E-01,8.84E+00,4.05E+00,6.759262689
2.50E+00,2.73E+01,9.57E-01,9.11E+00,3.96E+00,9.151737016
2.47E+00,2.40E+01,9.31E-01,9.30E+00,4.36E+00,12.61646874
2.40E+00,3.07E+01,9.48E-01,8.94E+00,4.55E+00,6.964346404
2.47E+00,3.15E+01,9.57E-01,8.82E+00,3.85E+00,6.556574938
2.39E+00,2.57E+01,9.55E-01,9.39E+00,4.08E+00,10.61433997
2.44E+00,2.59E+01,9.30E-01,9.73E+00,3.83E+00,10.44609979
2.48E+00,2.94E+01,9.51E-01,8.37E+00,4.50E+00,7.713657328
2.37E+00,2.10E+01,9.55E-01,1.02E+01,3.75E+00,17.79648441
2.44E+00,2.59E+01,9.49E-01,9.16E+00,4.22E+00,10.40790907
2.48E+00,2.86E+01,9.44E-01,8.88E+00,4.12E+00,8.195743284
2.41E+00,3.18E+01,9.50E-01,8.93E+00,4.11E+00,6.431782076
2.48E+00,3.16E+01,9.59E-01,8.33E+00,4.63E+00,6.518507044
2.40E+00,3.05E+01,9.50E-01,9.14E+00,4.11E+00,7.076936365
2.44E+00,2.51E+01,9.24E-01,9.80E+00,3.98E+00,11.24878548
2.44E+00,2.28E+01,9.58E-01,9.51E+00,4.39E+00,14.29186578
2.39E+00,2.61E+01,9.47E-01,9.06E+00,4.31E+00,10.2352974
2.47E+00,3.15E+01,9.45E-01,8.70E+00,4.47E+00,6.580793906
2.44E+00,3.19E+01,9.21E-01,8.83E+00,4.47E+00,6.396294619
2.50E+00,2.95E+01,9.58E-01,8.27E+00,4.28E+00,7.610998166
2.43E+00,2.82E+01,9.36E-01,9.45E+00,3.93E+00,8.49599686
2.46E+00,2.03E+01,9.59E-01,1.01E+01,4.07E+00,19.38331365
2.42E+00,2.62E+01,9.48E-01,8.99E+00,4.42E+00,10.10835094
2.45E+00,2.61E+01,9.36E-01,9.02E+00,4.51E+00,10.20590904
2.32E+00,2.94E+01,9.54E-01,9.09E+00,4.35E+00,7.692395373
2.48E+00,2.76E+01,9.33E-01,9.55E+00,3.78E+00,8.948297273
2.40E+00,2.84E+01,9.55E-01,8.39E+00,4.44E+00,8.324541379
2.42E+00,2.90E+01,9.44E-01,9.03E+00,4.07E+00,7.960085318
2.48E+00,2.74E+01,9.35E-01,8.83E+00,4.13E+00,9.061422293
2.45E+00,3.09E+01,9.37E-01,8.60E+00,4.64E+00,6.843599961
2.42E+00,3.12E+01,9.26E-01,8.87E+00,4.48E+00,6.714057557
2.49E+00,3.12E+01,9.53E-01,8.78E+00,4.59E+00,6.730776759
2.44E+00,2.71E+01,9.46E-01,9.21E+00,4.10E+00,9.325762196
2.49E+00,2.98E+01,9.54E-01,8.97E+00,4.76E+00,7.433916106
2.38E+00,3.37E+01,9.43E-01,8.76E+00,4.61E+00,5.63923715
2.46E+00,2.43E+01,9.44E-01,1.01E+01,3.91E+00,12.21382777
2.45E+00,2.89E+01,9.59E-01,8.88E+00,4.59E+00,8.001883738
2.38E+00,2.23E+01,9.50E-01,1.02E+01,3.70E+00,15.24644174
2.49E+00,2.46E+01,9.49E-01,8.95E+00,4.29E+00,11.80375408
2.35E+00,2.45E+01,9.55E-01,9.45E+00,4.23E+00,11.99312494
2.43E+00,2.67E+01,9.52E-01,9.26E+00,4.36E+00,9.67792336
2.42E+00,2.87E+01,9.55E-01,9.26E+00,4.22E+00,8.182156549
2.46E+00,2.60E+01,9.56E-01,9.13E+00,4.27E+00,10.31034108
2.45E+00,2.86E+01,9.26E-01,9.05E+00,4.30E+00,8.214919129
2.47E+00,2.57E+01,9.34E-01,1.00E+01,3.70E+00,10.62335425
2.42E+00,3.16E+01,9.51E-01,8.71E+00,4.64E+00,6.538724611
2.47E+00,2.94E+01,9.49E-01,8.56E+00,4.56E+00,7.683162018
2.47E+00,2.95E+01,9.49E-01,9.16E+00,4.28E+00,7.62820936
2.31E+00,2.53E+01,9.47E-01,9.66E+00,4.24E+00,11.05530252
2.41E+00,2.73E+01,9.58E-01,8.34E+00,4.56E+00,9.1967086
2.48E+00,2.52E+01,9.29E-01,9.68E+00,4.24E+00,11.19216883
2.43E+00,2.30E+01,9.54E-01,9.98E+00,3.98E+00,13.95081448
2.44E+00,3.10E+01,9.34E-01,8.93E+00,4.19E+00,6.819373509
2.46E+00,3.16E+01,9.31E-01,9.22E+00,4.05E+00,6.517260659
2.48E+00,3.14E+01,9.35E-01,8.54E+00,4.76E+00,6.599199075
